id,temperature_bmp,pressure,temperature_dht,humidity,timestamp
1,25.89,1002.5,24.4,52,03/03/25 19:52
2,25.88,1002.53,24.5,52,03/03/25 19:52
3,25.89,1002.51,24.5,52,03/03/25 19:52
4,25.9,1002.53,24.5,52,03/03/25 19:52
5,25.89,1002.51,24.5,53,03/03/25 19:52
6,25.87,1002.52,24.5,52,03/03/25 19:52
7,25.87,1002.53,24.5,51,03/03/25 19:52
8,25.86,1002.53,24.5,50,03/03/25 19:52
9,25.87,1002.54,24.5,50,03/03/25 19:52
10,25.88,1002.49,24.5,50,03/03/25 19:52
11,25.89,1002.55,24.5,51,03/03/25 19:52
12,25.91,1002.51,24.5,50,03/03/25 19:53
13,25.91,1002.55,24.5,50,03/03/25 19:53
14,25.9,1002.55,24.6,50,03/03/25 19:53
15,25.89,1002.57,24.6,50,03/03/25 19:53
16,25.88,1002.58,24.6,50,03/03/25 19:53
17,25.87,1002.54,24.6,49,03/03/25 19:53
18,25.87,1002.52,24.6,49,03/03/25 19:53
19,25.86,1002.5,24.6,49,03/03/25 19:53
20,25.86,1002.52,24.6,48,03/03/25 19:53
21,25.86,1002.54,24.6,48,03/03/25 19:53
22,25.87,1002.52,24.6,48,03/03/25 19:53
23,25.88,1002.55,24.6,48,03/03/25 19:53
24,25.89,1002.59,24.6,48,03/03/25 19:54
25,25.9,1002.56,24.6,48,03/03/25 19:54
26,25.88,1002.57,24.6,48,03/03/25 19:54
27,25.86,1002.52,24.5,48,03/03/25 19:54
28,25.86,1002.55,24.5,48,03/03/25 19:54
29,25.85,1002.59,24.5,48,03/03/25 19:54
30,25.85,1002.57,24.5,48,03/03/25 19:54
31,25.84,1002.58,24.5,48,03/03/25 19:54
32,25.83,1002.54,24.5,48,03/03/25 19:54
33,25.84,1002.6,24.5,49,03/03/25 19:54
34,25.82,1002.58,24.5,49,03/03/25 19:54
35,25.83,1002.57,24.5,49,03/03/25 19:54
36,25.85,1002.58,24.5,49,03/03/25 19:55
37,25.86,1002.61,24.5,49,03/03/25 19:55
38,25.87,1002.6,24.4,50,03/03/25 19:55
39,25.88,1002.58,24.5,50,03/03/25 19:55
40,25.89,1002.6,24.5,50,03/03/25 19:55
41,25.9,1002.58,24.5,50,03/03/25 19:55
42,25.9,1002.61,24.5,49,03/03/25 19:55
43,25.9,1002.66,24.5,49,03/03/25 19:55
44,25.9,1002.65,24.5,49,03/03/25 19:55
45,25.91,1002.62,24.5,49,03/03/25 19:55
46,25.92,1002.61,24.5,49,03/03/25 19:55
47,25.91,1002.65,24.5,50,03/03/25 19:55
48,25.91,1002.59,24.5,51,03/03/25 19:56
49,25.9,1002.64,24.5,50,03/03/25 19:56
50,25.91,1002.63,24.5,50,03/03/25 19:56
51,25.91,1002.61,24.5,49,03/03/25 19:56
52,25.9,1002.63,24.5,49,03/03/25 19:56
53,25.89,1002.6,24.5,49,03/03/25 19:56
54,25.89,1002.62,24.5,49,03/03/25 19:56
55,25.89,1002.65,24.5,49,03/03/25 19:56
56,25.88,1002.61,24.5,49,03/03/25 19:56
57,25.88,1002.65,24.5,49,03/03/25 19:56
58,25.89,1002.61,24.5,50,03/03/25 19:56
59,25.9,1002.6,24.5,50,03/03/25 19:56
60,25.9,1002.62,24.5,50,03/03/25 19:57
61,25.89,1002.63,24.5,50,03/03/25 19:57
62,25.87,1002.62,24.5,49,03/03/25 19:57
63,25.87,1002.61,24.5,49,03/03/25 19:57
64,25.86,1002.64,24.5,49,03/03/25 19:57
65,25.85,1002.62,24.5,49,03/03/25 19:57
66,25.86,1002.59,24.5,49,03/03/25 19:57
67,25.85,1002.6,24.5,48,03/03/25 19:57
68,25.85,1002.6,24.5,49,03/03/25 19:57
69,25.85,1002.62,24.5,49,03/03/25 19:57
70,25.84,1002.67,24.5,49,03/03/25 19:57
71,25.85,1002.62,24.5,49,03/03/25 19:57
72,25.85,1002.62,24.4,49,03/03/25 19:58
73,25.84,1002.66,24.4,49,03/03/25 19:58
74,25.84,1002.61,24.4,49,03/03/25 19:58
75,25.84,1002.59,24.4,49,03/03/25 19:58
